what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1399846428015
os,sysinfo,,,"win32",1399846428015
arch,sysinfo,,,"x86",1399846428015
ws,sysinfo,,,"win32",1399846428015
locale,sysinfo,,,"es_AR",1399846428015
processors,sysinfo,,,"2",1399846428015
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1399846428015
java.runtime.version,sysinfo,,,"1.6.0_22-b04",1399846428015
java.specification.name,sysinfo,,,"Java Platform API Specification",1399846428015
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1399846428015
java.specification.version,sysinfo,,,"1.6",1399846428015
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1399846428015
java.version,sysinfo,,,"1.6.0_22",1399846428015
java.vm.info,sysinfo,,,"mixed mode, sharing",1399846428015
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1399846428015
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1399846428015
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1399846428015
java.vm.specification.version,sysinfo,,,"1.0",1399846428015
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1399846428015
java.vm.version,sysinfo,,,"17.1-b03",1399846428015
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1399846428062
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1399846428062
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1399846428093
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1399846428187
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1399846428203
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1399846428296
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1399846428437
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1399846428640
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1399846428656
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1399846428671
started,bundle,org.eclipse.mylyn.team.ui,3.8.4.v20130429-0100,"org.eclipse.mylyn.team.ui",1399846428812
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1399846428828
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1399846428984
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1399846429125
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1399846430093
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399846430218
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1399846431468
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1399846432406
started,bundle,com.android.ide.eclipse.traceview,22.3.0.v201310242005-887826,"com.android.ide.eclipse.traceview",1399846433234
error,log,,,"Errors occurred during the build.",1399846433281
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1399846434484
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1399846435531
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1399846435984
